Part_ID,Label,Description,Part_type,Value_set_part_ID,Member_of_set_part_ID,Ancestor_part_ID,SQL_data_type,Is_required,Default_value,Sort_order,Parts_present,comments_present,contact_present,equipment_present,equipment_model_present,equipment_model_has_Parameter_present,equipment_model_has_procedures_present,hydrological_characteristics_present,metadata_present,parameter_present,parameter_has_procedures_present,procedures_present,project_present,project_has_contact_present,project_has_equipment_present,project_has_sampling_points_present,purpose_present,sampling_points_present,site_present,unit_present,urban_characteristics_present,value_present,watershed_present,weather_condition_present,Parts_required,Parts_order,comments_required,comments_order,contact_required,contact_order,equipment_required,equipment_order,equipment_model_required,equipment_model_order,equipment_model_has_Parameter_required,equipment_model_has_Parameter_order,equipment_model_has_procedures_required,equipment_model_has_procedures_order,hydrological_characteristics_required,hydrological_characteristics_order,metadata_required,metadata_order,parameter_required,parameter_order,parameter_has_procedures_required,parameter_has_procedures_order,procedures_required,procedures_order,project_required,project_order,project_has_contact_required,project_has_contact_order,project_has_equipment_required,project_has_equipment_order,project_has_sampling_points_required,project_has_sampling_points_order,purpose_required,purpose_order,sampling_points_required,sampling_points_order,site_required,site_order,unit_required,unit_order,urban_characteristics_required,urban_characteristics_order,value_required,value_order,watershed_required,watershed_order,weather_condition_required,weather_condition_order
metadata_order,Metadata Order,Display order of this part in the metadata table,property,,,,int,False,,34,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_present,Parameter Present,Indicates whether and how a field appears in the parameter table,property,,,,nvarchar(50),False,,35,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_required,Parameter Required,Whether this part is required in the parameter table,property,,,,bit,False,,36,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_order,Parameter Order,Display order of this part in the parameter table,property,,,,int,False,,37,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_has_procedures_present,Parameter Has Procedures Present,Indicates whether and how a field appears in the parameter_has_procedures table,property,,,,nvarchar(50),False,,38,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_has_procedures_required,Parameter Has Procedures Required,Whether this part is required in the parameter_has_procedures table,property,,,,bit,False,,39,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_has_procedures_order,Parameter Has Procedures Order,Display order of this part in the parameter_has_procedures table,property,,,,int,False,,40,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures_present,Procedures Present,Indicates whether and how a field appears in the procedures table,property,,,,nvarchar(50),False,,41,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures_required,Procedures Required,Whether this part is required in the procedures table,property,,,,bit,False,,42,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures_order,Procedures Order,Display order of this part in the procedures table,property,,,,int,False,,43,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_present,Project Present,Indicates whether and how a field appears in the project table,property,,,,nvarchar(50),False,,44,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_required,Project Required,Whether this part is required in the project table,property,,,,bit,False,,45,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_order,Project Order,Display order of this part in the project table,property,,,,int,False,,46,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_contact_present,Project Has Contact Present,Indicates whether and how a field appears in the project_has_contact table,property,,,,nvarchar(50),False,,47,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_contact_required,Project Has Contact Required,Whether this part is required in the project_has_contact table,property,,,,bit,False,,48,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_contact_order,Project Has Contact Order,Display order of this part in the project_has_contact table,property,,,,int,False,,49,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_equipment_present,Project Has Equipment Present,Indicates whether and how a field appears in the project_has_equipment table,property,,,,nvarchar(50),False,,50,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_equipment_required,Project Has Equipment Required,Whether this part is required in the project_has_equipment table,property,,,,bit,False,,51,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_equipment_order,Project Has Equipment Order,Display order of this part in the project_has_equipment table,property,,,,int,False,,52,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_sampling_points_present,Project Has Sampling Points Present,Indicates whether and how a field appears in the project_has_sampling_points table,property,,,,nvarchar(50),False,,53,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_sampling_points_required,Project Has Sampling Points Required,Whether this part is required in the project_has_sampling_points table,property,,,,bit,False,,54,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_sampling_points_order,Project Has Sampling Points Order,Display order of this part in the project_has_sampling_points table,property,,,,int,False,,55,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpose_present,Purpose Present,Indicates whether and how a field appears in the purpose table,property,,,,nvarchar(50),False,,56,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpose_required,Purpose Required,Whether this part is required in the purpose table,property,,,,bit,False,,57,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpose_order,Purpose Order,Display order of this part in the purpose table,property,,,,int,False,,58,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampling_points_present,Sampling Points Present,Indicates whether and how a field appears in the sampling_points table,property,,,,nvarchar(50),False,,59,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampling_points_required,Sampling Points Required,Whether this part is required in the sampling_points table,property,,,,bit,False,,60,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampling_points_order,Sampling Points Order,Display order of this part in the sampling_points table,property,,,,int,False,,61,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_present,Site Present,Indicates whether and how a field appears in the site table,property,,,,nvarchar(50),False,,62,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_required,Site Required,Whether this part is required in the site table,property,,,,bit,False,,63,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_order,Site Order,Display order of this part in the site table,property,,,,int,False,,64,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit_present,Unit Present,Indicates whether and how a field appears in the unit table,property,,,,nvarchar(50),False,,65,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit_required,Unit Required,Whether this part is required in the unit table,property,,,,bit,False,,66,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit_order,Unit Order,Display order of this part in the unit table,property,,,,int,False,,67,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_characteristics_present,Urban Characteristics Present,Indicates whether and how a field appears in the urban_characteristics table,property,,,,nvarchar(50),False,,68,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_characteristics_required,Urban Characteristics Required,Whether this part is required in the urban_characteristics table,property,,,,bit,False,,69,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_characteristics_order,Urban Characteristics Order,Display order of this part in the urban_characteristics table,property,,,,int,False,,70,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value_present,Value Present,Indicates whether and how a field appears in the value table,property,,,,nvarchar(50),False,,71,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value_required,Value Required,Whether this part is required in the value table,property,,,,bit,False,,72,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value_order,Value Order,Display order of this part in the value table,property,,,,int,False,,73,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watershed_present,Watershed Present,Indicates whether and how a field appears in the watershed table,property,,,,nvarchar(50),False,,74,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watershed_required,Watershed Required,Whether this part is required in the watershed table,property,,,,bit,False,,75,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watershed_order,Watershed Order,Display order of this part in the watershed table,property,,,,int,False,,76,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_condition_present,Weather Condition Present,Indicates whether and how a field appears in the weather_condition table,property,,,,nvarchar(50),False,,77,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_condition_required,Weather Condition Required,Whether this part is required in the weather_condition table,property,,,,bit,False,,78,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_condition_order,Weather Condition Order,Display order of this part in the weather_condition table,property,,,,int,False,,79,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part_type_set,Part Type Set,Valid values for part types,valueSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,Table,Represents a database table,valueSetMember,,Part_type_set,,nvarchar(50),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key,Key,Represents a primary key,valueSetMember,,Part_type_set,,nvarchar(50),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property,Property,Represents a column/field in a table,valueSetMember,,Part_type_set,,nvarchar(50),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compositeKeyFirst,Composite Key First,First component of a composite primary key,valueSetMember,,Part_type_set,,nvarchar(50),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compositeKeySecond,Composite Key Second,Second component of a composite primary key,valueSetMember,,Part_type_set,,nvarchar(50),,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentKey,Parent Key,Hierarchical reference to parent record in same table,valueSetMember,,Part_type_set,,nvarchar(50),,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valueSet,Value Set,Represents an enumeration or controlled vocabulary,valueSetMember,,Part_type_set,,nvarchar(50),,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valueSetMember,Value Set Member,Individual value within a value set,valueSetMember,,Part_type_set,,nvarchar(50),,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,Comments,Table for Comments,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact,Contact,Table for Contact,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment,Equipment,Table for Equipment,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model,Equipment Model,Table for Equipment Model,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_Parameter,Equipment Model Has Parameter,Table for Equipment Model Has Parameter,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_procedures,Equipment Model Has Procedures,Table for Equipment Model Has Procedures,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrological_characteristics,Hydrological Characteristics,Table for Hydrological Characteristics,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,Metadata,Table for Metadata,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter,Parameter,Table for Parameter,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_has_procedures,Parameter Has Procedures,Table for Parameter Has Procedures,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures,Procedures,Table for Procedures,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,Project,Table for Project,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_contact,Project Has Contact,Table for Project Has Contact,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_equipment,Project Has Equipment,Table for Project Has Equipment,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_sampling_points,Project Has Sampling Points,Table for Project Has Sampling Points,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpose,Purpose,Table for Purpose,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampling_points,Sampling Points,Table for Sampling Points,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site,Site,Table for Site,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
